MLS#	Address	Neighbourhood	Latitude	Longitude	Price	Size(sqft)	Taxes	Age	DOM	Type	Bedrooms	Bathrooms	RealtorURL	ZoloURL	Date
30766739	28 Landsdown Drive, Guelph, Ontario 	-	43.517268	-80.203898	920150 	-	-	-	-	Single Family	5 + 1	4	https://www.realtor.ca/real-estate/21425014/5-1-bedroom-single-family-house-28-landsdown-drive-guelph	-	2019-12-30
30781820	160 WAVERLEY Drive, Guelph, Ontario 	10 - Victoria North	43.572999	-80.257054	509900 	No Data	No Data	1957	1 (Dec 30, 2019)	Single Family	3	2	https://www.realtor.ca/real-estate/21425007/3-bedroom-single-family-house-160-waverley-drive-guelph	https://www.zolo.ca/guelph-real-estate/160-waverley-drive	2019-12-30
30782740	83 -  1155 Gordon Street, Guelph, Ontario 	15 - Kortright West	43.520986	-80.211035	469800 	No Data	No Data	2006	1 (Dec 30, 2019)	Condo	3	3	https://www.realtor.ca/real-estate/21424913/3-bedroom-condo-83-1155-gordon-street-guelph	https://www.zolo.ca/guelph-real-estate/1155-gordon-street/83	2019-12-30
30782734	27 -  124 Gosling Gardens, Guelph, Ontario 	15 - Kortright West	43.499442	-80.192295	459800 	No Data	No Data	2004	1 (Dec 30, 2019)	Condo	4	3	https://www.realtor.ca/real-estate/21424898/4-bedroom-condo-27-124-gosling-gardens-guelph	https://www.zolo.ca/guelph-real-estate/124-gosling-gardens/27	2019-12-30
30775881	49 Wilsonview Avenue, Guelph, Ontario 	-	43.52159	-80.239814	444999 	1950 sqft	No Data	1972	2 (Dec 28, 2019)	Condo	4	3	https://www.realtor.ca/real-estate/21424220/4-bedroom-condo-49-wilsonview-avenue-guelph	https://www.zolo.ca/guelph-real-estate/49-wilsonview-avenue	2019-12-30
X4657496	31 SCHRODER CRES, Guelph, Ontario 	Grange Hill East	43.5580153	-80.2270515	430000 	1200-1399 sqft	$3,053 /yr	No Data	3 (Dec 27, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21423743/3-bedroom-condo-31-schroder-cres-guelph-grange-hill-east	https://www.zolo.ca/guelph-real-estate/31-schroder-crescent	2019-12-30
30775035	8 CLAIRFIELDS Drive W, Guelph, Ontario 	-	43.504127	-80.195083	799800 	No Data	No Data	2005	3 (Dec 27, 2019)	Single Family	5 + 2	4	https://www.realtor.ca/real-estate/21423336/5-2-bedroom-single-family-house-8-clairfields-drive-w-guelph	https://www.zolo.ca/guelph-real-estate/8-clairfields-drive-west	2019-12-30
30782554	26 -  35 Mountford Drive, Guelph, Ontario 	11 - Grange Road	43.564883	-80.233702	1700 	No Data	No Data	2011	6 (Dec 23, 2019)	Condo	2	1	https://www.realtor.ca/real-estate/21420919/2-bedroom-condo-26-35-mountford-drive-guelph	https://www.zolo.ca/guelph-real-estate/35-mountford-drive/26	2019-12-30
30782537	3 -  714 Willow Road, Guelph, Ontario 	-	43.527165	-80.297367	649900 	1863 sqft	No Data	2017	6 (Dec 23, 2019)	Condo	3	4	https://www.realtor.ca/real-estate/21420839/3-bedroom-condo-3-714-willow-road-guelph	https://www.zolo.ca/guelph-real-estate/714-willow-road/3	2019-12-30
X4656191	#401 -25 KAY CRES, Guelph, Ontario 	Guelph South	43.503857	-80.1829351	419900 	900-999 sqft	$3,050 /yr	No Data	10 (Dec 20, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21418200/2-bedroom-condo-401-25-kay-cres-guelph-guelph-south	https://www.zolo.ca/guelph-real-estate/25-kay-crescent/401	2019-12-30
H4069512	404 1291 GORDON Street, Guelph, Ontario 	-	43.513998	-80.200291	337900 	-	-	-	-	Condo	3	3	https://www.realtor.ca/real-estate/21417108/3-bedroom-condo-404-1291-gordon-street-guelph	-	2019-12-30
X4655941	#404 -1291 GORDON ST, Guelph, Ontario 	Guelph South	43.5139985	-80.2003211	337900 	900-999 sqft	$3,116 /yr	0-5 years	10 (Dec 19, 2019)	Condo	3	3	https://www.realtor.ca/real-estate/21417073/3-bedroom-condo-404-1291-gordon-st-guelph-guelph-south	https://www.zolo.ca/guelph-real-estate/1291-gordon-street/404	2019-12-30
30777414	206 -  7 Cityview Drive S, Guelph, Ontario 	11 - Grange Road	43.558628	-80.216488	368500 	1342 sqft	No Data	No Data	44 (Nov 16, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21325882/3-bedroom-condo-206-7-cityview-drive-s-guelph	https://www.zolo.ca/guelph-real-estate/7-cityview-drive-south/206	2019-12-30
30777231	14 SUMMERFIELD Drive, Guelph, Ontario 	-	43.518526	-80.191817	745000 	2003 sqft	No Data	2015	50 (Nov 9, 2019)	Single Family	3	4	https://www.realtor.ca/real-estate/21323998/3-bedroom-single-family-house-14-summerfield-drive-guelph	https://www.zolo.ca/guelph-real-estate/14-summerfield-drive	2019-12-30
X4628904	#5 -101 FREDERICK DR, Guelph, Ontario 	Pine Ridge	43.5153703	-80.1744409	459900 	1600-1799 sqft	$3,496 /yr	6-10 years	40 (Nov 19, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21318943/3-bedroom-condo-5-101-frederick-dr-guelph-clairfields	https://www.zolo.ca/guelph-real-estate/101-frederick-drive/5	2019-12-30
30776387	9 Hunt Street, Guelph, Ontario 	-	43.518212	-80.181154	669888 	1778 sqft	No Data	2006	52 (Nov 7, 2019)	Single Family	3	4	https://www.realtor.ca/real-estate/21317222/3-bedroom-single-family-house-9-hunt-street-guelph	https://www.zolo.ca/guelph-real-estate/9-hunt-street	2019-12-30
X4627697	18 WESTRA DR, Guelph, Ontario 	West Willow Woods	43.5231727	-80.3022678	749900 	No Data	$5,870 /yr	No Data	53 (Nov 6, 2019)	Single Family	2 + 2	4	https://www.realtor.ca/real-estate/21314717/2-2-bedroom-single-family-house-18-westra-dr-guelph-west-willow-woods	https://www.zolo.ca/guelph-real-estate/18-westra-drive	2019-12-30
30768741	702 -  55 YARMOUTH Street, Guelph, Ontario 	1 - Downtown	43.547283	-80.252504	349900 	No Data	No Data	1980	55 (Nov 5, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21306486/2-bedroom-condo-702-55-yarmouth-street-guelph	https://www.zolo.ca/guelph-real-estate/55-yarmouth-street/702	2019-12-30
30775999	115 DAWN Avenue, Guelph, Ontario 	-	43.507026	-80.200216	1799900 	-	-	-	-	Single Family	5 + 1	6	https://www.realtor.ca/real-estate/21301975/5-1-bedroom-single-family-house-115-dawn-avenue-guelph	-	2019-12-30
X4623871	601 WOOLWICH ST, Guelph, Ontario 	Exhibition Park	43.5576297	-80.2668693	570000 	1500-2000 sqft	$3,963 /yr	100 years	58 (Nov 1, 2019)	Single Family	5	3	https://www.realtor.ca/real-estate/21300656/5-bedroom-single-family-house-601-woolwich-st-guelph-exhibition-park	https://www.zolo.ca/guelph-real-estate/601-woolwich-street	2019-12-30
30775922	601 Woolwich Street, Guelph, Ontario 	-	43.557539	-80.26673	570000 	-	-	-	-	Single Family	3 + 2	3	https://www.realtor.ca/real-estate/21299625/3-2-bedroom-single-family-house-601-woolwich-street-guelph	-	2019-12-30
X4622633	43 TANAGER DR, Guelph, Ontario 	Kortright Hills	43.5012289	-80.2443076	909000 	2500-3000 sqft	$6,378 /yr	No Data	59 (Oct 31, 2019)	Single Family	4 + 2	4	https://www.realtor.ca/real-estate/21296461/4-2-bedroom-single-family-house-43-tanager-dr-guelph-kortright-hills	https://www.zolo.ca/guelph-real-estate/43-tanager-drive	2019-12-30
30775510	60 Walker Way, Guelph, Ontario 	-	43.518899	-80.180362	635900 	1542 sqft	No Data	2009	55 (Nov 5, 2019)	Condo	3 + 1	4	https://www.realtor.ca/real-estate/21294227/3-1-bedroom-condo-60-walker-way-guelph	https://www.zolo.ca/guelph-real-estate/60-walker-way	2019-12-30
X4621728	#410 -1219 GORDON ST, Guelph, Ontario 	Hanlon Creek	43.5165986	-80.2039167	384900 	1000-1199 sqft	$3,200 /yr	0-5 years	60 (Oct 30, 2019)	Condo	4	4	https://www.realtor.ca/real-estate/21293981/4-bedroom-condo-410-1219-gordon-st-guelph-hanlon-creek	https://www.zolo.ca/guelph-real-estate/1219-gordon-street/410	2019-12-30
X4621189	125 MUNICIPAL ST, Guelph, Ontario 	Old University	43.5251814	-80.2539341	699000 	No Data	$5,113 /yr	No Data	61 (Oct 30, 2019)	Single Family	4 + 5	3	https://www.realtor.ca/real-estate/21292045/4-5-bedroom-single-family-house-125-municipal-st-guelph-old-university	https://www.zolo.ca/guelph-real-estate/125-municipal-street	2019-12-30
30775327	13 -  60 Arkell Road, Guelph, Ontario 	14 - Kortright East	43.515109	-80.197713	669990 	2202 sqft	No Data	2020	55 (Nov 4, 2019)	Condo	3	3	https://www.realtor.ca/real-estate/21290547/3-bedroom-condo-13-60-arkell-road-guelph	https://www.zolo.ca/guelph-real-estate/60-arkell-road/13	2019-12-30
30775229	3 -  60 Arkell Road, Guelph, Ontario 	14 - Kortright East	43.515109	-80.197713	629900 	2129 sqft	No Data	2020	57 (Nov 2, 2019)	Condo	3	3	https://www.realtor.ca/real-estate/21288607/3-bedroom-condo-3-60-arkell-road-guelph	https://www.zolo.ca/guelph-real-estate/60-arkell-road/3	2019-12-30
30774101	9 Emeny Lane, Guelph, Ontario 	-	43.519125	-80.203697	989000 	-	-	-	-	Condo	4	3	https://www.realtor.ca/real-estate/21272483/4-bedroom-condo-9-emeny-lane-guelph	-	2019-12-30
X4614246	#C101 -65 BAYBERRY DR, Guelph, Ontario 	Village	43.5318757	-80.2143974	490000 	1200-1399 sqft	$3,596 /yr	11-15 years	60 (Oct 30, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21266616/2-bedroom-condo-c101-65-bayberry-dr-guelph-village	https://www.zolo.ca/guelph-real-estate/65-bayberry-drive/c101	2019-12-30
30773247	46 Ryder Avenue, Guelph, Ontario 	15 - Kortright West	43.516061	-80.213137	912900 	2815 sqft	No Data	2019	51 (Nov 9, 2019)	Single Family	4	3	https://www.realtor.ca/real-estate/21265127/4-bedroom-single-family-house-46-ryder-avenue-guelph	https://www.zolo.ca/guelph-real-estate/46-ryder-avenue	2019-12-30
30771920	C101 -  65 Bayberry Drive, Guelph, Ontario 	-	43.531847	-80.214225	490000 	-	-	-	-	Condo	2	2	https://www.realtor.ca/real-estate/21264864/2-bedroom-condo-c101-65-bayberry-drive-guelph	-	2019-12-30
30773647	411 -  1229 Victoria Road S, Guelph, Ontario 	-	43.513856	-80.171764	559217 	1321 sqft	No Data	2019	49 (Nov 11, 2019)	Condo	1	3	https://www.realtor.ca/real-estate/21264521/1-bedroom-condo-411-1229-victoria-road-s-guelph	https://www.zolo.ca/guelph-real-estate/1229-victoria-road-south/411	2019-12-30
30773398	604 York Road, Guelph, Ontario 	-	43.55427	-80.220968	459900 	-	-	-	-	Single Family	3 + 2	3	https://www.realtor.ca/real-estate/21261574/3-2-bedroom-single-family-house-604-york-road-guelph	-	2019-12-30
X4611812	416 COLE RD, Guelph, Ontario 	Hanlon Creek	43.5097834	-80.2328938	624940 	1500-2000 sqft	$4,753 /yr	No Data	72 (Oct 18, 2019)	Single Family	3 + 1	3	https://www.realtor.ca/real-estate/21257805/3-1-bedroom-single-family-house-416-cole-rd-guelph-hanlon-creek	https://www.zolo.ca/guelph-real-estate/416-cole-road	2019-12-30
30773046	218 -  1229 Victoria Road S, Guelph, Ontario 	-	43.513856	-80.171764	462368 	1113 sqft	No Data	2019	59 (Nov 1, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21254805/3-bedroom-condo-218-1229-victoria-road-s-guelph	https://www.zolo.ca/guelph-real-estate/1229-victoria-road-south/218	2019-12-30
30772713	310 -  1229 Victoria Road S, Guelph, Ontario 	-	43.513856	-80.171764	489922 	1157 sqft	No Data	2019	73 (Oct 18, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21250284/2-bedroom-condo-310-1229-victoria-road-s-guelph	https://www.zolo.ca/guelph-real-estate/1229-victoria-road-south/310	2019-12-30
X4608540	##59 -88 DECORSO DR, Guelph, Ontario 	Village	43.5247697	-80.1947195	584900 	1500-2000 sqft	No Data	No Data	75 (Oct 16, 2019)	Single Family	3	3	https://www.realtor.ca/real-estate/21247739/3-bedroom-single-family-row-townhouse-59-88-decorso-dr-guelph-village	https://www.zolo.ca/guelph-real-estate/88-decorso-drive/59	2019-12-30
H4065868	59 88 Decorso Drive, Guelph, Ontario 	-	43.525248	-80.192972	584900 	-	-	-	-	Single Family	3	3	https://www.realtor.ca/real-estate/21245952/3-bedroom-single-family-row-townhouse-59-88-decorso-drive-guelph	-	2019-12-30
X4606805	#203 -55 YARMOUTH ST, Guelph, Ontario 	Central West	43.5473532	-80.2522571	435000 	900-999 sqft	$2,697 /yr	31-50 years	76 (Oct 15, 2019)	Condo	2	1	https://www.realtor.ca/real-estate/21242923/2-bedroom-condo-203-55-yarmouth-st-guelph-central-west	https://www.zolo.ca/guelph-real-estate/55-yarmouth-street/203	2019-12-30
30771709	209 -  1229 Victoria Road S, Guelph, Ontario 	-	43.513856	-80.171764	502952 	1215 sqft	No Data	2019	76 (Oct 15, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21241062/2-bedroom-condo-209-1229-victoria-road-s-guelph	https://www.zolo.ca/guelph-real-estate/1229-victoria-road-south/209	2019-12-30
30771504	PH1101 -  63 Arthur Street S, Guelph, Ontario 	1 - Downtown	43.545736	-80.240854	1206000 	1817 sqft	No Data	No Data	77 (Oct 14, 2019)	Condo	2	3	https://www.realtor.ca/real-estate/21238458/2-bedroom-condo-ph1101-63-arthur-street-s-guelph	https://www.zolo.ca/guelph-real-estate/63-arthur-street-south/ph1101	2019-12-30
30771720	203 -  63 Arthur Street S, Guelph, Ontario 	-	43.546065	-80.241659	404899 	-	-	-	-	Condo	1	1	https://www.realtor.ca/real-estate/21234036/1-bedroom-condo-203-63-arthur-street-s-guelph	-	2019-12-30
30771475	11 Green Street, Guelph, Ontario 	-	43.548105	-80.255596	1050000 	-	-	-	-	Single Family	4	3	https://www.realtor.ca/real-estate/21230744/4-bedroom-single-family-house-11-green-street-guelph	-	2019-12-30
30770953	305 -  53 Arthur Street S, Guelph, Ontario 	-	43.545959	-80.241986	489900 	-	-	-	-	Condo	2	2	https://www.realtor.ca/real-estate/21222763/2-bedroom-condo-305-53-arthur-street-s-guelph	-	2019-12-30
30769515	913 -  1886 Gordon Street, Guelph, Ontario 	-	43.49834	-80.185416	598900 	1361 sqft	No Data	2021	81 (Oct 10, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21219971/2-bedroom-condo-913-1886-gordon-street-guelph	https://www.zolo.ca/guelph-real-estate/1886-gordon-street/913	2019-12-30
30769608	201 -  1886 Gordon Street, Guelph, Ontario 	-	43.49834	-80.185416	648900 	1473 sqft	No Data	2021	81 (Oct 10, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21219968/2-bedroom-condo-201-1886-gordon-street-guelph	https://www.zolo.ca/guelph-real-estate/1886-gordon-street/201	2019-12-30
30770318	37 -  146 DOWNEY Road, Guelph, Ontario 	-	43.497729	-80.233741	624900 	-	-	-	-	Condo	2	3	https://www.realtor.ca/real-estate/21217652/2-bedroom-condo-37-146-downey-road-guelph	-	2019-12-30
30770518	1204 -  160 MACDONELL Street, Guelph, Ontario 	1 - Downtown	43.54681	-80.244474	749900 	1558 sqft	No Data	2014	81 (Oct 10, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21217477/2-bedroom-condo-1204-160-macdonell-street-guelph	https://www.zolo.ca/guelph-real-estate/160-macdonell-street/1204	2019-12-30
X4598107	#203 -63 ARTHUR ST S, Guelph, Ontario 	Two Rivers	43.5460149	-80.2416053	404899 	600-699 sqft	No Data	0-5 years	87 (Oct 3, 2019)	Condo	1 + 1	1	https://www.realtor.ca/real-estate/21210672/1-1-bedroom-condo-203-63-arthur-st-s-guelph-two-rivers	https://www.zolo.ca/guelph-real-estate/63-arthur-street-south/203	2019-12-30
X4597430	#501 -1219 GORDON ST, Guelph, Ontario 	Guelph South	43.5165986	-80.2039167	399999 	1000-1199 sqft	$3,200 /yr	0-5 years	87 (Oct 3, 2019)	Condo	4	4	https://www.realtor.ca/real-estate/21209606/4-bedroom-condo-501-1219-gordon-st-guelph-guelph-south	https://www.zolo.ca/guelph-real-estate/1219-gordon-street/501	2019-12-30
X4596918	#18 -60 ARKELL RD E, Guelph, Ontario 	Kortright Hills	43.5156586	-80.1977156	634999 	2000-2249 sqft	$4,900 /yr	No Data	88 (Oct 3, 2019)	Condo	3 + 1	4	https://www.realtor.ca/real-estate/21208181/3-1-bedroom-condo-18-60-arkell-rd-e-guelph-kortright-hills	https://www.zolo.ca/guelph-real-estate/60-arkell-road-east/18	2019-12-30
30769204	501 -  1219 Gordon Street, Guelph, Ontario 	-	43.516217	-80.202994	399999 	-	-	-	-	Condo	4	4	https://www.realtor.ca/real-estate/21207019/4-bedroom-condo-501-1219-gordon-street-guelph	-	2019-12-30
30769768	566 Starwood Drive, Guelph, Ontario 	-	43.573081	-80.235004	715000 	-	-	-	-	Single Family	3	3	https://www.realtor.ca/real-estate/21202900/3-bedroom-single-family-house-566-starwood-drive-guelph	-	2019-12-30
X4594501	#605 -1219 GORDON ST, Guelph, Ontario 	Village	43.5165986	-80.2039167	399900 	1000-1199 sqft	$3,450 /yr	No Data	89 (Oct 1, 2019)	Condo	4	4	https://www.realtor.ca/real-estate/21197666/4-bedroom-condo-605-1219-gordon-st-guelph-village	https://www.zolo.ca/guelph-real-estate/1219-gordon-street/605	2019-12-30
X4592864	316 GORDON ST, Guelph, Ontario 	Old University	43.5353	-80.23649	1100000 	2000-2500 sqft	$6,904 /yr	51-99 years	90 (Sep 30, 2019)	Single Family	3	3	https://www.realtor.ca/real-estate/21191883/3-bedroom-single-family-house-316-gordon-st-guelph-old-university	https://www.zolo.ca/guelph-real-estate/316-gordon-street	2019-12-30
30764137	316 Gordon Street, Guelph, Ontario 	-	43.535361	-80.236388	1100000 	-	-	-	-	Single Family	3	3	https://www.realtor.ca/real-estate/21191033/3-bedroom-single-family-house-316-gordon-street-guelph	-	2019-12-30
X4592246	23 MACKAY ST, Guelph, Ontario 	Grange Hill East	43.5645904	-80.2240056	611900 	No Data	$4,200 /yr	No Data	92 (Sep 28, 2019)	Single Family	3 + 1	3	https://www.realtor.ca/real-estate/21189750/3-1-bedroom-single-family-house-23-mackay-st-guelph-grange-hill-east	https://www.zolo.ca/guelph-real-estate/23-mackay-street	2019-12-30
30765575	702 -  23 Woodlawn Road, Guelph, Ontario 	9 - Riverside Park	43.564452	-80.27298	339900 	No Data	No Data	1978	92 (Sep 28, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21184162/2-bedroom-condo-702-23-woodlawn-road-guelph	https://www.zolo.ca/guelph-real-estate/23-woodlawn-road/702	2019-12-30
X4588420	#42 -941 GORDON ST, Guelph, Ontario 	Hanlon Creek	43.5227462	-80.2147679	440000 	1200-1399 sqft	$3,248 /yr	16-30 years	96 (Sep 25, 2019)	Condo	3 + 1	2	https://www.realtor.ca/real-estate/21176572/3-1-bedroom-condo-42-941-gordon-st-guelph-hanlon-creek	https://www.zolo.ca/guelph-real-estate/941-gordon-street/42	2019-12-30
X4588141	314 EDINBURGH RD S, Guelph, Ontario 	Old University	43.5265663	-80.2427394	825000 	1500-2000 sqft	$4,277 /yr	No Data	96 (Sep 24, 2019)	Single Family	4	2	https://www.realtor.ca/real-estate/21174714/4-bedroom-single-family-duplex-314-edinburgh-rd-s-guelph-old-university	https://www.zolo.ca/guelph-real-estate/314-edinburgh-road-south	2019-12-30
30766306	314 EDINBURGH Road S, Guelph, Ontario 	-	43.526632	-80.242694	825000 	-	-	-	-	Single Family	4	2	https://www.realtor.ca/real-estate/21174162/4-bedroom-single-family-house-314-edinburgh-road-s-guelph	-	2019-12-30
X4587861	25 WALTER ST, Guelph, Ontario 	Two Rivers	43.5530365	-80.2332954	406699 	700-1100 sqft	$2,612 /yr	No Data	96 (Sep 24, 2019)	Single Family	3	1	https://www.realtor.ca/real-estate/21173922/3-bedroom-single-family-house-25-walter-st-guelph-two-rivers	https://www.zolo.ca/guelph-real-estate/25-walter-street	2019-12-30
H4064307	2-16 88 DeCorso Drive, Guelph, Ontario 	-	43.525046	-80.192714	469900 	-	-	-	-	Single Family	2	2	https://www.realtor.ca/real-estate/21172923/2-bedroom-single-family-row-townhouse-2-16-88-decorso-drive-guelph	-	2019-12-30
X4586843	#59 -1035 VICTORIA  RD S, Guelph, Ontario 	Kortright Hills	43.5303684	-80.1946636	490000 	1600-1799 sqft	$3,600 /yr	6-10 years	97 (Sep 23, 2019)	Condo	3	3	https://www.realtor.ca/real-estate/21170532/3-bedroom-condo-59-1035-victoria-rd-s-guelph-kortright-hills	https://www.zolo.ca/guelph-real-estate/1035-victoria-road-south/59	2019-12-30
30767616	59 -  1035 Victoria Road S, Guelph, Ontario 	-	43.530575	-80.196096	490000 	-	-	-	-	Condo	3	3	https://www.realtor.ca/real-estate/21170127/3-bedroom-condo-59-1035-victoria-road-s-guelph	-	2019-12-30
30766632	84 DOWNEY Road, Guelph, Ontario 	-	43.501949	-80.238699	874900 	-	-	-	-	Single Family	3 + 2	4	https://www.realtor.ca/real-estate/21168498/3-2-bedroom-single-family-house-84-downey-road-guelph	-	2019-12-30
30766742	1 Lovering Lane, Guelph, Ontario 	-	43.518298	-80.203787	949000 	-	-	-	-	Condo	4	4	https://www.realtor.ca/real-estate/21167116/4-bedroom-condo-1-lovering-lane-guelph	-	2019-12-30
30759194	7 Bright Lane, Guelph, Ontario 	-	43.515576	-80.184608	1225000 	-	-	-	-	Single Family	4	3	https://www.realtor.ca/real-estate/21166433/4-bedroom-single-family-house-7-bright-lane-guelph	-	2019-12-30
30767171	42 -  941 Gordon Street, Guelph, Ontario 	-	43.522054	-80.21524	440000 	-	-	-	-	Condo	3	2	https://www.realtor.ca/real-estate/21163591/3-bedroom-condo-42-941-gordon-street-guelph	-	2019-12-30
30766452	57 EDGEHILL Drive, Guelph, Ontario 	-	43.552795	-80.270889	994900 	-	-	-	-	Single Family	2	2	https://www.realtor.ca/real-estate/21151625/2-bedroom-single-family-house-57-edgehill-drive-guelph	-	2019-12-30
30764167	262 GRANGE Road, Guelph, Ontario 	-	43.558635	-80.230169	728500 	-	-	-	-	Single Family	4	1	https://www.realtor.ca/real-estate/21118409/4-bedroom-single-family-house-262-grange-road-guelph	-	2019-12-30
30764066	57 -  941 GORDON Street, Guelph, Ontario 	15 - Kortright West	43.522508	-80.212901	399999 	No Data	No Data	No Data	111 (Sep 10, 2019)	Condo	3	4	https://www.realtor.ca/real-estate/21117851/3-bedroom-condo-57-941-gordon-street-guelph	https://www.zolo.ca/guelph-real-estate/941-gordon-street/57	2019-12-30
30762379	902 -  73 Arthur Street S, Guelph, Ontario 	-	43.545794	-80.241211	673450 	-	-	-	-	Condo	2	3	https://www.realtor.ca/real-estate/21100852/2-bedroom-condo-902-73-arthur-street-s-guelph	-	2019-12-30
30762666	13 Mussen Street, Guelph, Ontario 	-	43.583955	-80.2668	554900 	-	-	-	-	Single Family	3	3	https://www.realtor.ca/real-estate/21093487/3-bedroom-single-family-row-townhouse-13-mussen-street-guelph	-	2019-12-30
30760991	265 METCALFE Street, Guelph, Ontario 	3 - General Hospital	43.562883	-80.257395	439900 	1040 sqft	No Data	No Data	115 (Sep 6, 2019)	Single Family	3 + 1	2	https://www.realtor.ca/real-estate/21093033/3-1-bedroom-single-family-house-265-metcalfe-street-guelph	https://www.zolo.ca/guelph-real-estate/265-metcalfe-street	2019-12-30
X4559448	#303 -160 MACDONELL ST, Guelph, Ontario 	Central West	43.5467261	-80.2446455	829000 	1400-1599 sqft	$4,559 /yr	No Data	123 (Aug 28, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21076148/2-bedroom-condo-303-160-macdonell-st-guelph-central-west	https://www.zolo.ca/guelph-real-estate/160-macdonell-street/303	2019-12-30
30761426	303 -  160 MACDONELL Street, Guelph, Ontario 	-	43.546766	-80.244642	829000 	-	-	-	-	Condo	2	2	https://www.realtor.ca/real-estate/21075480/2-bedroom-condo-303-160-macdonell-street-guelph	-	2019-12-30
30759231	105 MILSON Crescent, Guelph, Ontario 	16 - Kortright Hills	43.501706	-80.23048	759900 	2126 sqft	No Data	2005	128 (Aug 24, 2019)	Single Family	4 + 1	4	https://www.realtor.ca/real-estate/21042806/4-1-bedroom-single-family-house-105-milson-crescent-guelph	https://www.zolo.ca/guelph-real-estate/105-milson-crescent	2019-12-30
30758677	24 DOMINION Drive, Guelph, Ontario 	-	43.511519	-80.179261	719900 	1873 sqft	No Data	No Data	132 (Aug 19, 2019)	Single Family	3 + 1	4	https://www.realtor.ca/real-estate/21040694/3-1-bedroom-single-family-house-24-dominion-drive-guelph	https://www.zolo.ca/guelph-real-estate/24-dominion-drive	2019-12-30
X4545309	36 OLD COLONY TR, Guelph, Ontario 	College	43.5097796	-80.241038	1099900 	3000-3500 sqft	$9,387 /yr	31-50 years	139 (Aug 13, 2019)	Single Family	4	4	https://www.realtor.ca/real-estate/21023975/4-bedroom-single-family-house-36-old-colony-tr-guelph-college	https://www.zolo.ca/guelph-real-estate/36-old-colony-trail	2019-12-30
30757702	36 Old Colony Trail, Guelph, Ontario 	-	43.509602	-80.240791	1099900 	-	-	-	-	Single Family	4	4	https://www.realtor.ca/real-estate/21022368/4-bedroom-single-family-house-36-old-colony-trail-guelph	-	2019-12-30
H4060861	74 88 DeCorso Drive, Guelph, Ontario 	-	43.525863	-80.191384	599900 	-	-	-	-	Single Family	3	2	https://www.realtor.ca/real-estate/21019621/3-bedroom-single-family-row-townhouse-74-88-decorso-drive-guelph	-	2019-12-30
X4538547	107 STARWOOD DR, Guelph, Ontario 	Grange Hill East	43.5665133702885	-80.2143172881403	584900 	2000-2500 sqft	No Data	No Data	145 (Aug 6, 2019)	Single Family	2	3	https://www.realtor.ca/real-estate/21001112/2-bedroom-single-family-row-townhouse-107-starwood-dr-guelph-grange-hill-east	https://www.zolo.ca/guelph-real-estate/107-starwood-drive	2019-12-30
30751357	17 Mussen Street, Guelph, Ontario 	-	43.583961	-80.266832	674900 	-	-	-	-	Single Family	4	3	https://www.realtor.ca/real-estate/20916055/4-bedroom-single-family-row-townhouse-17-mussen-street-guelph	-	2019-12-30
30748087	49 Ryder Avenue, Guelph, Ontario 	15 - Kortright West	43.516039	-80.212825	912800 	2308 sqft	No Data	2019	173 (Jul 9, 2019)	Single Family	3	2	https://www.realtor.ca/real-estate/20882522/3-bedroom-single-family-house-49-ryder-avenue-guelph	https://www.zolo.ca/guelph-real-estate/49-ryder-avenue	2019-12-30
X4655801	#1506 -150 WELLINGTON  ST E, Guelph, Ontario 	Central West	43.5459581	-80.2438066	710000 	1200-1399 sqft	$4,345 /yr	0-5 years	10 (Dec 19, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21416851/2-bedroom-condo-1506-150-wellington-st-e-guelph-central-west	https://www.zolo.ca/guelph-real-estate/150-wellington-street-east/1506	2019-12-30
30781454	9 RICKSON Avenue, Guelph, Ontario 	15 - Kortright West	43.522256	-80.225393	689900 	1700 sqft	No Data	1975	10 (Dec 19, 2019)	Single Family	3	3	https://www.realtor.ca/real-estate/21416772/3-bedroom-single-family-house-9-rickson-avenue-guelph	https://www.zolo.ca/guelph-real-estate/9-rickson-avenue	2019-12-30
30781985	1506 -  150 Wellington Street E, Guelph, Ontario 	-	43.546291	-80.243667	710000 	-	-	-	-	Condo	2	2	https://www.realtor.ca/real-estate/21415680/2-bedroom-condo-1506-150-wellington-street-e-guelph	-	2019-12-30
