MLS#	Address	Neighbourhood	Latitude	Longitude	Price	Size(sqft)	Taxes	Age	DOM	Type	Bedrooms	Bathrooms	RealtorURL	ZoloURL	Date
30781217	40 WHEELER Avenue, Guelph, Ontario 	-	43.551628	-80.234996	464900 	-	-	-	-	Single Family	3 + 1	2	https://www.realtor.ca/real-estate/21400482/3-1-bedroom-single-family-house-40-wheeler-avenue-guelph	-	2019-12-30
X4651309	31 COX CRT, Guelph, Ontario 	Village	43.5285885	-80.2063004	972500 	2000-2500 sqft	$6,797 /yr	No Data	19 (Dec 10, 2019)	Single Family	2	2	https://www.realtor.ca/real-estate/21399339/2-bedroom-single-family-house-31-cox-crt-guelph-village	https://www.zolo.ca/guelph-real-estate/31-cox-court	2019-12-30
30781390	31 Cox Court, Guelph, Ontario 	-	43.528699	-80.206291	972500 	-	-	-	-	Single Family	2	2	https://www.realtor.ca/real-estate/21398658/2-bedroom-single-family-house-31-cox-court-guelph	-	2019-12-30
X4650764	239 POPPY DR E, Guelph, Ontario 	Guelph South	43.5037593	-80.1802985	659900 	1500-2000 sqft	$3,800 /yr	0-5 years	20 (Dec 9, 2019)	Single Family	4	3	https://www.realtor.ca/real-estate/21397791/4-bedroom-single-family-row-townhouse-239-poppy-dr-e-guelph-guelph-south	https://www.zolo.ca/guelph-real-estate/239-poppy-drive-east	2019-12-30
30781117	816 -  19 WOODLAWN Road E, Guelph, Ontario 	-	43.564743	-80.275192	329900 	-	-	-	-	Condo	2	1	https://www.realtor.ca/real-estate/21394310/2-bedroom-condo-816-19-woodlawn-road-e-guelph	-	2019-12-30
30781132	14 Kensington Street, Guelph, Ontario 	9 - Riverside Park	43.565484	-80.264416	564999 	1086 sqft	No Data	No Data	20 (Dec 9, 2019)	Single Family	3	2	https://www.realtor.ca/real-estate/21394071/3-bedroom-single-family-house-14-kensington-street-guelph	https://www.zolo.ca/guelph-real-estate/14-kensington-street	2019-12-30
30781000	34 Edgehill Drive, Guelph, Ontario 	2 - Exhibition Park	43.551589	-80.269424	729900 	1645 sqft	No Data	1912	23 (Dec 6, 2019)	Single Family	2 + 1	2	https://www.realtor.ca/real-estate/21391988/2-1-bedroom-single-family-house-34-edgehill-drive-guelph	https://www.zolo.ca/guelph-real-estate/34-edgehill-drive	2019-12-30
X4649402	16 TRUESDALE CRES, Guelph, Ontario 	Kortright Hills	43.5133332	-80.2092335	661500 	2000-2500 sqft	$5,132 /yr	6-15 years	23 (Dec 6, 2019)	Single Family	3	3	https://www.realtor.ca/real-estate/21391433/3-bedroom-single-family-house-16-truesdale-cres-guelph-kortright-hills	https://www.zolo.ca/guelph-real-estate/16-truesdale-crescent	2019-12-30
30780950	16 TRUESDALE Crescent, Guelph, Ontario 	-	43.513306	-80.209333	661500 	-	-	-	-	Single Family	3	3	https://www.realtor.ca/real-estate/21390302/3-bedroom-single-family-house-16-truesdale-crescent-guelph	-	2019-12-30
X4648806	54 CHESTERTON LANE, Guelph, Ontario 	Grange Hill East	43.5647073	-80.2269489	498000 	1100-1500 sqft	$3,263 /yr	16-30 years	24 (Dec 5, 2019)	Single Family	3 + 0	2	https://www.realtor.ca/real-estate/21389599/3-0-bedroom-single-family-house-54-chesterton-lane-guelph-grange-hill-east	https://www.zolo.ca/guelph-real-estate/54-chesterton-lane	2019-12-30
30778567	111 Fairmeadow Drive, Guelph, Ontario 	-	43.516881	-80.272231	749900 	No Data	No Data	1984	26 (Dec 4, 2019)	Single Family	3 + 1	3	https://www.realtor.ca/real-estate/21384189/3-1-bedroom-single-family-house-111-fairmeadow-drive-guelph	https://www.zolo.ca/guelph-real-estate/111-fairmeadow-drive	2019-12-30
30780351	65 WASHBURN Drive, Guelph, Ontario 	11 - Grange Road	43.571291	-80.232611	515000 	1471 sqft	No Data	2008	26 (Dec 4, 2019)	Single Family	3	2	https://www.realtor.ca/real-estate/21380965/3-bedroom-single-family-row-townhouse-65-washburn-drive-guelph	https://www.zolo.ca/guelph-real-estate/65-washburn-drive	2019-12-30
X4646054	74 HASLER CRES, Guelph, Ontario 	Pine Ridge	43.5208398	-80.1882367	499900 	1100-1500 sqft	$3,496 /yr	6-15 years	27 (Dec 2, 2019)	Single Family	3	3	https://www.realtor.ca/real-estate/21378802/3-bedroom-single-family-row-townhouse-74-hasler-cres-guelph-pine-ridge	https://www.zolo.ca/guelph-real-estate/74-hasler-crescent	2019-12-30
X4646033	#28 -60 ARKELL RD, Guelph, Ontario 	Kortright Hills	43.5156586	-80.1977156	735000 	2250-2499 sqft	$5,225 /yr	No Data	27 (Dec 2, 2019)	Condo	3	4	https://www.realtor.ca/real-estate/21378351/3-bedroom-condo-28-60-arkell-rd-guelph-kortright-hills	https://www.zolo.ca/guelph-real-estate/60-arkell-road/28	2019-12-30
30779692	28 -  60 Arkell Road, Guelph, Ontario 	-	43.515084	-80.198166	735000 	-	-	-	-	Condo	3 + 1	4	https://www.realtor.ca/real-estate/21376575/3-1-bedroom-condo-28-60-arkell-road-guelph	-	2019-12-30
30780429	74 Hasler Crescent, Guelph, Ontario 	-	43.520827	-80.188221	499900 	-	-	-	-	Single Family	3	3	https://www.realtor.ca/real-estate/21376574/3-bedroom-single-family-row-townhouse-74-hasler-crescent-guelph	-	2019-12-30
30780397	219 Elmira Road S, Guelph, Ontario 	-	43.520185	-80.285635	674900 	No Data	No Data	1992	26 (Dec 4, 2019)	Single Family	4	3	https://www.realtor.ca/real-estate/21376484/4-bedroom-single-family-house-219-elmira-road-s-guelph	https://www.zolo.ca/guelph-real-estate/219-elmira-road-south	2019-12-30
X4644935	36 EUGENE DR, Guelph, Ontario 	Pine Ridge	43.5040324	-80.1884778	599900 	No Data	$3,655 /yr	No Data	30 (Nov 29, 2019)	Single Family	3 + 1	3	https://www.realtor.ca/real-estate/21373282/3-1-bedroom-single-family-house-36-eugene-dr-guelph-pine-ridge	https://www.zolo.ca/guelph-real-estate/36-eugene-drive	2019-12-30
X4644826	53 KEATING ST, Guelph, Ontario 	Grange Hill East	43.5645571	-80.2178199	690900 	1500-2000 sqft	No Data	New	30 (Nov 29, 2019)	Single Family	3	3	https://www.realtor.ca/real-estate/21373279/3-bedroom-single-family-house-53-keating-st-guelph-grange-hill-east	https://www.zolo.ca/guelph-real-estate/53-keating-street	2019-12-30
235330	33 BRIGHTON STREET, Guelph, Ontario 	-	43.567379	-80.261403	599900 	No Data	No Data	1955	30 (Nov 29, 2019)	Single Family	3 + 1	2	https://www.realtor.ca/real-estate/21371889/3-1-bedroom-single-family-house-33-brighton-street-guelph	https://www.zolo.ca/guelph-real-estate/33-brighton-street	2019-12-30
30780069	001 -  108 Summit Ridge Drive, Guelph, Ontario 	11 - Grange Road	43.572389	-80.232598	2100 	1230 sqft	No Data	2018	31 (Nov 29, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21371592/3-bedroom-condo-001-108-summit-ridge-drive-guelph	https://www.zolo.ca/guelph-real-estate/108-summit-ridge-drive/001	2019-12-30
30780111	604 -  23 Woodlawn Road E, Guelph, Ontario 	9 - Riverside Park	43.56462	-80.272944	424900 	1498 sqft	No Data	1978	31 (Nov 28, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21370387/2-bedroom-condo-604-23-woodlawn-road-e-guelph	https://www.zolo.ca/guelph-real-estate/23-woodlawn-road-east/604	2019-12-30
X4644061	#30 -39 KAY CRES, Guelph, Ontario 	Guelph South	43.5038798	-80.1814486	454900 	1200-1399 sqft	$2,259 /yr	0-5 years	31 (Nov 28, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21369634/3-bedroom-condo-30-39-kay-cres-guelph-guelph-south	https://www.zolo.ca/guelph-real-estate/39-kay-crescent/30	2019-12-30
30779931	30 -  39 KAY Crescent, Guelph, Ontario 	-	43.503621	-80.181255	454900 	-	-	-	-	Condo	3	2	https://www.realtor.ca/real-estate/21369327/3-bedroom-condo-30-39-kay-crescent-guelph	-	2019-12-30
